itl22cd,year,acd_year,nc_year,nc_year_number,mean_projection,upper_pi,lower_pi
TLC1,2023,2023/2024,reception,0,12290.1136162499,12432.1377589936,12212.7009148142
TLC1,2024,2024/2025,reception,0,11963.711881368,12123.1796191481,11882.6054204191
TLC1,2025,2025/2026,reception,0,11378.8702387261,11549.4553773135,11294.7590128704
TLC1,2026,2026/2027,reception,0,11796.7362733874,11992.1439088192,11699.437908846
TLC1,2027,2027/2028,reception,0,11342.4653823412,11659.4649289397,11130.4453256121
TLC1,2028,2028/2029,reception,0,11115.33397408,11454.4461239512,10884.3300883496
TLC1,2029,2029/2030,reception,0,10892.7508430124,11254.3691817745,10644.3358501461
TLC1,2030,2030/2031,reception,0,10674.6249104736,11055.871349564,10406.2089423883
TLC1,2031,2031/2032,reception,0,10460.8669216371,10862.8182852695,10174.5855552384
TLC1,2032,2032/2033,reception,0,10251.389408993,10671.5612988934,9950.92802449475
TLC2,2023,2023/2024,reception,0,14434.2267990106,14544.053594397,14319.5868369524
TLC2,2024,2024/2025,reception,0,13635.9009263856,13754.6297063391,13512.6032294119
TLC2,2025,2025/2026,reception,0,13726.3119298926,13862.6440760575,13590.3877686515
TLC2,2026,2026/2027,reception,0,13878.3604245907,14032.2785376969,13726.0701875002
TLC2,2027,2027/2028,reception,0,13504.3935424562,13825.9235906395,13193.3265228467
TLC2,2028,2028/2029,reception,0,13306.549022713,13671.0211673787,12968.0429028637
TLC2,2029,2029/2030,reception,0,13111.6030006972,13514.2803442617,12750.0942202159
TLC2,2030,2030/2031,reception,0,12919.5130123108,13364.36976945,12537.8448049807
TLC2,2031,2031/2032,reception,0,12730.237215571,13214.0623658958,12330.5993959261
TLC2,2032,2032/2033,reception,0,12543.734381496,13061.3974956914,12124.5234860219
TLD1,2023,2023/2024,reception,0,4556.63993502708,4607.11309874732,4500.40713888211
TLD1,2024,2024/2025,reception,0,4308.04506407393,4361.07690311087,4249.47590436488
TLD1,2025,2025/2026,reception,0,4298.7354875218,4357.66160193157,4233.262494092
TLD1,2026,2026/2027,reception,0,4310.24737108354,4377.24149966149,4237.56053458481
TLD1,2027,2027/2028,reception,0,4221.84418414242,4353.81671190183,4096.72150837536
TLD1,2028,2028/2029,reception,0,4151.67015277801,4294.4525865802,4015.15544882556
TLD1,2029,2029/2030,reception,0,4082.66252985104,4236.85349195404,3938.91108157422
TLD1,2030,2030/2031,reception,0,4014.80192772456,4180.51840018494,3863.30408442858
TLD1,2031,2031/2032,reception,0,3948.06928101622,4124.58183418655,3786.53105056213
TLD1,2032,2032/2033,reception,0,3882.44584124184,4067.3878583984,3709.81912571975
TLD3,2023,2023/2024,reception,0,33555.543320275,33959.2397922904,33081.2862367872
TLD3,2024,2024/2025,reception,0,32850.9154297373,33290.3508107592,32345.6385217964
TLD3,2025,2025/2026,reception,0,31659.1829637542,32127.4661560145,31124.8918260315
TLD3,2026,2026/2027,reception,0,32623.937327548,33157.0458509739,32019.6896090606
TLD3,2027,2027/2028,reception,0,32018.940501277,32930.3413856461,31095.7534092239
TLD3,2028,2028/2029,reception,0,31657.594714851,32646.9944457423,30647.4542255282
TLD3,2029,2029/2030,reception,0,31300.3268515331,32356.7644868952,30212.2583857155
TLD3,2030,2030/2031,reception,0,30947.0908904273,32096.1956752804,29810.0713517855
